# MODEL NAME			#INSTITUTE ID
ACCESS-CCM               	CoECSS-AAD-NIWA
CESM1-CAM4Chem         NSF-DOE-NCAR 
CCSRNIES-MIROC3.2	NIES	
CESM-Superfast		LLNL
OsloCTM3			CICERO
CMAM				CCCma
CNRM-CCM			Meteo-France
EMAC				MESSy
GEOSCCM			GSFC
GEOS-Chem			LAGEO
GFDL-AM3			NOAA-GFDL
GISS-E2-R			GISS
HadGEM3-ES			MOHC
LMDZrepro			IPSL	
MIROC-ESM-CHEM		JAMSTEC
MOCAGE				GAME-CNRM
MRI-ESM1r1			MRI
NIWA-UKCA			NIWA
SOCOL3				ETH-PMOD
ULAQ-CCM			U-LAQUILA
UMSLIMCAT			U-LEEDS	
UMUKCA-UCAM	U-CAMBRIDGE
CESM1-WACCM	NCAR
